Track,"Car","Race #","Driver","Team","Lap","Position","Fuel","Pen","Lap Time","Sector 1","Sector 2","Sector 3","Gap","TimingFlags","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pos (Start Lap)","Fuel (Start Lap)","Position Δ","Wind Speed","Wind Direction","Brake Bias","Track Grip","Rain Intensity","Tyre","Tyre Set","Suspension Damage FL","Suspension Damage FR","Suspension Damage RL","Suspension Damage RR","Lap 0 Timestamp","Real Timestamp","Real Duration","° Air","° Road","° FL","° FR","° RL","° RR","Accel From","Accel to","Accidents","Adjusted timestamp","Brake ° FL","Brake ° FR","Brake ° RL","Brake ° RR","Brake Compound F","Brake Compound R","Brand","Category","Cup","Damage Front","Damage Left","Damage Rear","DamageRight","Driver ID","ECU Mode","ELO","First Name","Flags","Lap Completed Timestamp","Lap Type","Last Name","Licence","Max Speed","Nation Flag","Nationality","p FL","p FR","p RL","p RR","Peak Accel","Peak Accel Dist","Peak Accel Time","Penalty","Penalty Code","PenaltyTime","Player ID","Player Unclear","Position (Broadcast)","Repair Time","Session ID","Short Name","SR","Timestamp"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","1","6","93,5L","","1:54,050","0:32,812","0:33,587","0:47,650","+0,205","8","+11,404","+12,837","+6,403","+6,489","OPTIMUM","Dry","2","0","-4","0,0 Km/h","N","45,0%","Optimum","No Rain","DHE","3","0","0","0","0","","1:48,438","","21,0°C","21,0°C","69,8°C","71,9°C","73,2°C","74,9°C","71","248","1","","419,2°C","420,4°C","408,3°C","409,0°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","1","30:07,585","Regular","Synkkänen","","266 Km/h","","Finland","26,8 psi","26,4 psi","26,1 psi","25,9 psi","28,6337536656891","828,765","16159","0","","0","1","True","6","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","2","5","90,8L","","1:42,735","0:22,945","0:32,455","0:47,335","+1,455","11776","+0,089","+1,522","-4,912","-4,826","OPTIMUM","Dry","6","0","+1","0,0 Km/h","N","45,0%","Optimum","No Rain","DHE","3","0","0","0","0","","3:31,166","","21,0°C","21,0°C","72,9°C","77,7°C","82,8°C","87,0°C","71","248","0","","490,4°C","493,9°C","490,9°C","491,5°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","31:50,320","Regular","Synkkänen","","268 Km/h","","Finland","27,1 psi","26,9 psi","27,0 psi","27,0 psi","21,3980198019802","828,765","16159","0","","0","1","True","5","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","3","5","88,2L","","1:41,322","0:21,877","0:32,470","0:46,975","+0,828","10756","-1,324","+0,109","-6,325","-6,239","OPTIMUM","Dry","5","0","","0,0 Km/h","N","45,0%","Optimum","No Rain","DHE","3","0","0","0","0","","5:12,471","","20,9°C","20,9°C","73,2°C","78,9°C","84,1°C","88,6°C","71","248","0","","483,2°C","487,1°C","482,5°C","484,6°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","33:31,640","Regular","Synkkänen","","264 Km/h","","Finland","27,1 psi","27,0 psi","27,1 psi","27,2 psi","21,0680892337536","828,765","16159","0","","0","1","True","5","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","4","4","85,6L","","1:41,455","0:22,012","0:32,417","0:47,025","+0,420","0","-1,191","+0,242","-6,192","-6,106","OPTIMUM","Dry","5","0","+1","0,0 Km/h","N","45,0%","Optimum","No Rain","DHE","3","0","0","0","0","","6:53,896","","20,9°C","20,9°C","73,2°C","79,6°C","84,5°C","89,2°C","71","248","0","","475,6°C","479,2°C","475,5°C","477,5°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","1","35:13,090","Regular","Synkkänen","","264 Km/h","","Finland","27,1 psi","27,1 psi","27,1 psi","27,2 psi","21,9143562439497","828,765","16159","0","","0","1","True","4","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","5","4","83,0L","","1:42,135","0:21,810","0:32,895","0:47,430","+0,205","0","-0,511","+0,922","-5,512","-5,426","OPTIMUM","Dry","4","0","","0,0 Km/h","N","45,0%","Optimum","No Rain","DHE","3","0","0","0","0","","8:36,023","","20,9°C","20,9°C","73,1°C","79,4°C","84,1°C","89,2°C","71","248","0","","467,0°C","470,3°C","466,2°C","468,1°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","1","36:55,235","Regular","Synkkänen","","264 Km/h","","Finland","27,1 psi","27,1 psi","27,1 psi","27,2 psi","24,5565856031128","828,765","16159","0","","0","1","True","4","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","6","4","80,4L","","1:41,470","0:21,920","0:32,432","0:47,117","+0,210","1024","-1,176","+0,257","-6,177","-6,091","OPTIMUM","Dry","4","0","","0,0 Km/h","N","45,0%","Optimum","No Rain","DHE","3","0","0","0","0","","10:17,480","","20,8°C","20,8°C","72,9°C","78,8°C","83,5°C","88,7°C","71","248","0","","479,6°C","483,4°C","477,6°C","479,7°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","38:36,702","Regular","Synkkänen","","268 Km/h","","Finland","27,0 psi","27,0 psi","27,0 psi","27,2 psi","21,7779411764706","828,765","16159","0","","0","1","True","4","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","7","4","77,8L","","1:41,802","0:21,750","0:32,692","0:47,360","+0,307","512","-0,844","+0,589","-5,845","-5,759","OPTIMUM","Dry","4","0","","0,0 Km/h","N","45,0%","Optimum","No Rain","DHE","3","0","0","0","0","","11:59,487","","20,8°C","20,8°C","72,9°C","79,0°C","83,6°C","88,5°C","71","248","0","","501,6°C","506,5°C","498,6°C","501,3°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","40:18,505","Regular","Synkkänen","","270 Km/h","","Finland","27,0 psi","27,0 psi","27,0 psi","27,2 psi","22,0016865079365","828,765","16159","0","","0","1","True","4","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","8","4","75,2L","","1:42,150","0:21,895","0:32,842","0:47,412","+0,415","0","-0,496","+0,937","-5,497","-5,411","OPTIMUM","Dry","4","0","","0,0 Km/h","N","45,0%","Optimum","No Rain","DHE","3","0","0","0","0","","13:41,522","","20,7°C","20,7°C","73,0°C","78,7°C","83,3°C","87,9°C","71","248","0","","478,1°C","481,7°C","477,0°C","478,9°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","42:00,652","Regular","Synkkänen","","271 Km/h","","Finland","27,0 psi","27,0 psi","27,0 psi","27,1 psi","21,9611056268509","828,765","16159","0","","0","1","True","4","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","9","4","72,6L","","1:41,887","0:22,120","0:32,450","0:47,317","+0,420","0","-0,759","+0,674","-5,760","-5,674","OPTIMUM","Dry","4","0","","0,0 Km/h","N","45,0%","Optimum","No Rain","DHE","3","0","0","0","0","","15:23,390","","20,7°C","20,7°C","73,0°C","78,7°C","83,5°C","88,3°C","71","248","0","","476,6°C","480,8°C","475,5°C","477,9°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","43:42,535","Regular","Synkkänen","","268 Km/h","","Finland","27,0 psi","27,0 psi","27,0 psi","27,1 psi","21,4255402750491","828,765","16159","0","","0","1","True","4","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","10","4","70,1L","","1:42,305","0:22,655","0:32,640","0:47,010","+0,835","0","-0,341","+1,092","-5,342","-5,256","OPTIMUM","Dry","4","0","","0,0 Km/h","N","45,0%","Optimum","No Rain","DHE","3","0","0","0","0","","17:05,690","","20,7°C","20,7°C","72,6°C","78,8°C","83,8°C","88,4°C","71","248","0","","468,9°C","472,6°C","468,9°C","471,1°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","1","45:24,845","Regular","Synkkänen","","268 Km/h","","Finland","27,0 psi","27,0 psi","27,0 psi","27,1 psi","21,7952611218569","828,765","16159","0","","0","1","True","4","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
