Track,"Car","Race #","Driver","Team","Lap","Position","Fuel","Pen","Lap Time","Sector 1","Sector 2","Sector 3","Gap","TimingFlags","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pos (Start Lap)","Fuel (Start Lap)","Position Δ","Wind Speed","Wind Direction","Brake Bias","Track Grip","Rain Intensity","Tyre","Tyre Set","Suspension Damage FL","Suspension Damage FR","Suspension Damage RL","Suspension Damage RR","Lap 0 Timestamp","Real Timestamp","Real Duration","° Air","° Road","° FL","° FR","° RL","° RR","Accel From","Accel to","Accidents","Adjusted timestamp","Brake ° FL","Brake ° FR","Brake ° RL","Brake ° RR","Brake Compound F","Brake Compound R","Brand","Category","Cup","Damage Front","Damage Left","Damage Rear","DamageRight","Driver ID","ECU Mode","ELO","First Name","Flags","Lap Completed Timestamp","Lap Type","Last Name","Licence","Max Speed","Nation Flag","Nationality","p FL","p FR","p RL","p RR","Peak Accel","Peak Accel Dist","Peak Accel Time","Penalty","Penalty Code","PenaltyTime","Player ID","Player Unclear","Position (Broadcast)","Repair Time","Session ID","Short Name","SR","Timestamp"
Spa- Francorchamps (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","1","38","0,0L","","2:54,685","1:04,320","","0:41,495","+0,000","8","+34,533","+35,922","+25,308","+22,259","","","40","0","+2","0,0 Km/h","N","","Green","No Rain","DHA","0","0","0","0","0","","2:24,736","","","","","","","","0","0","0","","","","","","1","1","","Platinum","Pro","0","0","0","0","0","1","","Ville","1","20:45,867","Regular","Synkkanen","","","","Finland","","","","","0","0","0","0","","0","0","True","38","","8eb82b48-0fbd-42c7-89d7-a276a9fa375d","SYN","","0.0"
Spa- Francorchamps (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","2","37","72,6L","","2:32,255","0:45,382","","0:40,402","+1,560","10752","+12,103","+13,492","+2,878","-0,171","OPTIMUM","Dry","38","0","+1","4,5 Km/h","N","51,0%","Optimum","No Rain","DHA","1","0","0","0","0","","4:56,957","","13,2°C","14,8°C","61,3°C","61,2°C","60,5°C","60,2°C","71","231","0","","611,2°C","608,8°C","266,4°C","265,0°C","2","2","","Platinum","Pro","0","0","0","0","0","1","","Ville","0","23:18,122","Regular","Synkkanen","","248 Km/h","","Finland","25,3 psi","25,5 psi","25,5 psi","25,7 psi","24,47590085796","667,26","13696","0","","0","0","True","37","","8eb82b48-0fbd-42c7-89d7-a276a9fa375d","SYN","","0.0"
Spa- Francorchamps (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","3","36","69,7L","","2:30,035","0:44,715","","0:39,755","+2,282","0","+9,883","+11,272","+0,658","-2,391","OPTIMUM","Dry","37","0","+1","5,9 Km/h","N","51,0%","Optimum","No Rain","DHA","1","0","0","0","0","","7:27,081","","13,1°C","14,7°C","77,0°C","76,0°C","72,3°C","71,3°C","71","231","0","","747,6°C","743,9°C","303,8°C","301,3°C","2","2","","Platinum","Pro","0","0","0","0","0","1","","Ville","1","25:48,160","Regular","Synkkanen","","247 Km/h","","Finland","26,8 psi","26,9 psi","26,6 psi","26,7 psi","20,8076363636364","667,26","13696","0","","0","0","True","36","","8eb82b48-0fbd-42c7-89d7-a276a9fa375d","SYN","","0.0"
Spa- Francorchamps (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","4","35","66,7L","","2:29,962","0:44,670","1:05,365","0:39,927","+3,120","11778","+9,810","+11,199","+0,585","-2,464","OPTIMUM","Dry","36","0","+1","6,0 Km/h","N","51,0%","Optimum","No Rain","DHA","1","0","0","0","0","","9:56,895","","13,1°C","14,5°C","76,9°C","75,4°C","73,3°C","71,9°C","71","231","0","","737,7°C","733,9°C","295,4°C","293,2°C","2","2","","Platinum","Pro","0","0","0","0","0","1","","Ville","0","28:18,090","Regular","Synkkanen","","247 Km/h","","Finland","26,8 psi","26,8 psi","26,7 psi","26,8 psi","20,357896749522","667,26","13696","0","","0","0","True","35","","8eb82b48-0fbd-42c7-89d7-a276a9fa375d","SYN","","0.0"
Spa- Francorchamps (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","5","33","63,7L","","2:30,080","0:44,557","","0:39,932","+3,522","512","+9,928","+11,317","+0,703","-2,346","OPTIMUM","Dry","35","0","+2","6,1 Km/h","N","51,0%","Optimum","No Rain","DHA","1","0","0","0","0","","12:27,108","","13,0°C","14,4°C","77,0°C","75,2°C","73,4°C","72,0°C","71","231","0","","742,3°C","737,5°C","298,7°C","295,8°C","2","2","","Platinum","Pro","0","0","0","0","0","1","","Ville","0","30:48,202","Regular","Synkkanen","","247 Km/h","","Finland","26,8 psi","26,8 psi","26,7 psi","26,8 psi","19,9560784313726","667,26","13696","0","","0","0","True","33","","8eb82b48-0fbd-42c7-89d7-a276a9fa375d","SYN","","0.0"
Spa- Francorchamps (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","6","33","60,7L","","2:30,185","0:44,897","1:05,505","0:39,782","+3,952","2048","+10,033","+11,422","+0,808","-2,241","OPTIMUM","Dry","33","0","","6,1 Km/h","N","51,0%","Optimum","No Rain","DHA","1","0","0","0","0","","14:57,088","","12,9°C","14,3°C","76,8°C","75,2°C","73,1°C","72,1°C","71","231","0","","737,8°C","733,5°C","295,2°C","292,6°C","2","2","","Platinum","Pro","0","0","0","0","0","1","","Ville","0","33:18,360","Regular","Synkkanen","","245 Km/h","","Finland","26,8 psi","26,8 psi","26,7 psi","26,8 psi","21,7832825880114","667,26","13696","0","","0","0","True","33","","8eb82b48-0fbd-42c7-89d7-a276a9fa375d","SYN","","0.0"
Spa- Francorchamps (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","7","33","57,7L","","2:29,960","0:44,667","1:05,505","0:39,787","+4,340","8192","+9,808","+11,197","+0,583","-2,466","OPTIMUM","Dry","33","0","","6,2 Km/h","N","51,0%","Optimum","No Rain","DHA","1","0","0","0","0","","17:27,064","","12,9°C","14,1°C","77,0°C","75,5°C","73,2°C","71,9°C","71","231","0","","746,1°C","741,5°C","301,1°C","298,0°C","2","2","","Platinum","Pro","0","0","0","0","0","1","","Ville","0","35:48,347","Regular","Synkkanen","","246 Km/h","","Finland","26,8 psi","26,8 psi","26,7 psi","26,8 psi","20,7175198412698","667,26","13696","0","","0","0","True","33","","8eb82b48-0fbd-42c7-89d7-a276a9fa375d","SYN","","0.0"
Spa- Francorchamps (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","8","33","54,7L","","2:30,010","0:44,612","","0:39,825","+4,767","0","+9,858","+11,247","+0,633","-2,416","OPTIMUM","Dry","33","0","","6,2 Km/h","N","51,0%","Optimum","No Rain","DHA","1","0","0","0","0","","19:57,099","","12,8°C","14,0°C","76,9°C","75,4°C","73,2°C","72,1°C","71","231","0","","747,7°C","743,1°C","302,5°C","299,5°C","2","2","","Platinum","Pro","0","0","0","0","0","1","","Ville","0","38:18,327","Regular","Synkkanen","","246 Km/h","","Finland","26,8 psi","26,8 psi","26,7 psi","26,8 psi","20,5158834765998","667,26","13696","0","","0","0","True","33","","8eb82b48-0fbd-42c7-89d7-a276a9fa375d","SYN","","0.0"
Spa- Francorchamps (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","9","33","51,8L","","2:29,732","0:44,617","1:05,440","0:39,675","+4,778","10372","+9,580","+10,969","+0,355","-2,694","OPTIMUM","Dry","33","0","","6,3 Km/h","N","51,0%","Optimum","No Rain","DHA","1","0","0","0","0","","22:26,871","","12,7°C","13,9°C","76,3°C","74,8°C","73,1°C","71,9°C","71","231","0","","735,1°C","730,4°C","292,9°C","290,1°C","2","2","","Platinum","Pro","0","0","0","0","0","1","","Ville","0","40:48,087","Regular","Synkkanen","","247 Km/h","","Finland","26,7 psi","26,8 psi","26,7 psi","26,8 psi","20,537189292543","667,26","13696","0","","0","0","True","33","","8eb82b48-0fbd-42c7-89d7-a276a9fa375d","SYN","","0.0"
Spa- Francorchamps (2022),"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","10","33","48,8L","","2:30,755","0:44,662","","0:39,912","+5,305","0","+10,603","+11,992","+1,378","-1,671","OPTIMUM","Dry","33","0","","6,4 Km/h","N","51,0%","Optimum","No Rain","DHA","1","0","0","0","0","","24:57,523","","12,7°C","13,7°C","76,6°C","74,8°C","73,3°C","71,8°C","71","231","0","","749,0°C","745,1°C","303,9°C","301,4°C","2","2","","Platinum","Pro","0","0","0","0","0","1","","Ville","0","43:18,845","Regular","Synkkanen","","246 Km/h","","Finland","26,7 psi","26,8 psi","26,7 psi","26,8 psi","20,4095904761905","667,26","13696","0","","0","0","True","33","","8eb82b48-0fbd-42c7-89d7-a276a9fa375d","SYN","","0.0"
